,Airport,City,City_Name,Des,DesCity,DesCity_Name
1143,ISL,IST,ISTANBUL,NCE,NCE,ISTANBUL
1145,IST,IST,ISTANBUL,NCE,NCE,ISTANBUL
2239,SAW,IST,ISTANBUL,NCE,NCE,ISTANBUL
1143,ISL,IST,ISTANBUL,NGO,NGO,ISTANBUL
1145,IST,IST,ISTANBUL,NGO,NGO,ISTANBUL
2239,SAW,IST,ISTANBUL,NGO,NGO,ISTANBUL
1143,ISL,IST,ISTANBUL,NKG,NKG,ISTANBUL
1145,IST,IST,ISTANBUL,NKG,NKG,ISTANBUL
2239,SAW,IST,ISTANBUL,NKG,NKG,ISTANBUL
1143,ISL,IST,ISTANBUL,NKM,NGO,ISTANBUL
1145,IST,IST,ISTANBUL,NKM,NGO,ISTANBUL
2239,SAW,IST,ISTANBUL,NKM,NGO,ISTANBUL
1143,ISL,IST,ISTANBUL,NRN,DUS,ISTANBUL
1145,IST,IST,ISTANBUL,NRN,DUS,ISTANBUL
2239,SAW,IST,ISTANBUL,NRN,DUS,ISTANBUL
1143,ISL,IST,ISTANBUL,NRT,TYO,ISTANBUL
1145,IST,IST,ISTANBUL,NRT,TYO,ISTANBUL
2239,SAW,IST,ISTANBUL,NRT,TYO,ISTANBUL
1143,ISL,IST,ISTANBUL,NTE,NTE,ISTANBUL
1145,IST,IST,ISTANBUL,NTE,NTE,ISTANBUL
2239,SAW,IST,ISTANBUL,NTE,NTE,ISTANBUL
1143,ISL,IST,ISTANBUL,NUE,NUE,ISTANBUL
1145,IST,IST,ISTANBUL,NUE,NUE,ISTANBUL
2239,SAW,IST,ISTANBUL,NUE,NUE,ISTANBUL
1143,ISL,IST,ISTANBUL,NVI,NVI,ISTANBUL
1145,IST,IST,ISTANBUL,NVI,NVI,ISTANBUL
2239,SAW,IST,ISTANBUL,NVI,NVI,ISTANBUL
1143,ISL,IST,ISTANBUL,NYO,STO,ISTANBUL
1145,IST,IST,ISTANBUL,NYO,STO,ISTANBUL
2239,SAW,IST,ISTANBUL,NYO,STO,ISTANBUL
1143,ISL,IST,ISTANBUL,ODS,ODS,ISTANBUL
1145,IST,IST,ISTANBUL,ODS,ODS,ISTANBUL
2239,SAW,IST,ISTANBUL,ODS,ODS,ISTANBUL
1143,ISL,IST,ISTANBUL,OPO,OPO,ISTANBUL
1145,IST,IST,ISTANBUL,OPO,OPO,ISTANBUL
2239,SAW,IST,ISTANBUL,OPO,OPO,ISTANBUL
1143,ISL,IST,ISTANBUL,ORD,CHI,ISTANBUL
1145,IST,IST,ISTANBUL,ORD,CHI,ISTANBUL
2239,SAW,IST,ISTANBUL,ORD,CHI,ISTANBUL
1143,ISL,IST,ISTANBUL,ORN,ORN,ISTANBUL
1145,IST,IST,ISTANBUL,ORN,ORN,ISTANBUL
2239,SAW,IST,ISTANBUL,ORN,ORN,ISTANBUL
1143,ISL,IST,ISTANBUL,ORY,PAR,ISTANBUL
1145,IST,IST,ISTANBUL,ORY,PAR,ISTANBUL
2239,SAW,IST,ISTANBUL,ORY,PAR,ISTANBUL
1143,ISL,IST,ISTANBUL,OSL,OSL,ISTANBUL
1145,IST,IST,ISTANBUL,OSL,OSL,ISTANBUL
2239,SAW,IST,ISTANBUL,OSL,OSL,ISTANBUL
1143,ISL,IST,ISTANBUL,OTP,BUH,ISTANBUL
1145,IST,IST,ISTANBUL,OTP,BUH,ISTANBUL
2239,SAW,IST,ISTANBUL,OTP,BUH,ISTANBUL
1143,ISL,IST,ISTANBUL,PEK,BJS,ISTANBUL
1145,IST,IST,ISTANBUL,PEK,BJS,ISTANBUL
2239,SAW,IST,ISTANBUL,PEK,BJS,ISTANBUL
1143,ISL,IST,ISTANBUL,PER,PER,ISTANBUL
1145,IST,IST,ISTANBUL,PER,PER,ISTANBUL
2239,SAW,IST,ISTANBUL,PER,PER,ISTANBUL
1143,ISL,IST,ISTANBUL,PHL,PHL,ISTANBUL
1145,IST,IST,ISTANBUL,PHL,PHL,ISTANBUL
2239,SAW,IST,ISTANBUL,PHL,PHL,ISTANBUL
1143,ISL,IST,ISTANBUL,PIK,GLA,ISTANBUL
1145,IST,IST,ISTANBUL,PIK,GLA,ISTANBUL
2239,SAW,IST,ISTANBUL,PIK,GLA,ISTANBUL
1143,ISL,IST,ISTANBUL,PMF,MIL,ISTANBUL
1145,IST,IST,ISTANBUL,PMF,MIL,ISTANBUL
2239,SAW,IST,ISTANBUL,PMF,MIL,ISTANBUL
1143,ISL,IST,ISTANBUL,PNH,PNH,ISTANBUL
1145,IST,IST,ISTANBUL,PNH,PNH,ISTANBUL
2239,SAW,IST,ISTANBUL,PNH,PNH,ISTANBUL
1143,ISL,IST,ISTANBUL,PNS,PNS,ISTANBUL
1145,IST,IST,ISTANBUL,PNS,PNS,ISTANBUL
2239,SAW,IST,ISTANBUL,PNS,PNS,ISTANBUL
1143,ISL,IST,ISTANBUL,PRG,PRG,ISTANBUL
1145,IST,IST,ISTANBUL,PRG,PRG,ISTANBUL
2239,SAW,IST,ISTANBUL,PRG,PRG,ISTANBUL
1143,ISL,IST,ISTANBUL,PSA,PSA,ISTANBUL
1145,IST,IST,ISTANBUL,PSA,PSA,ISTANBUL
2239,SAW,IST,ISTANBUL,PSA,PSA,ISTANBUL
1143,ISL,IST,ISTANBUL,PVG,SHA,ISTANBUL
1145,IST,IST,ISTANBUL,PVG,SHA,ISTANBUL
2239,SAW,IST,ISTANBUL,PVG,SHA,ISTANBUL
1143,ISL,IST,ISTANBUL,RDU,RDU,ISTANBUL
1145,IST,IST,ISTANBUL,RDU,RDU,ISTANBUL
2239,SAW,IST,ISTANBUL,RDU,RDU,ISTANBUL
1143,ISL,IST,ISTANBUL,RGN,RGN,ISTANBUL
1145,IST,IST,ISTANBUL,RGN,RGN,ISTANBUL
2239,SAW,IST,ISTANBUL,RGN,RGN,ISTANBUL
1143,ISL,IST,ISTANBUL,RIX,RIX,ISTANBUL
1145,IST,IST,ISTANBUL,RIX,RIX,ISTANBUL
2239,SAW,IST,ISTANBUL,RIX,RIX,ISTANBUL
1143,ISL,IST,ISTANBUL,RNS,RNS,ISTANBUL
1145,IST,IST,ISTANBUL,RNS,RNS,ISTANBUL
2239,SAW,IST,ISTANBUL,RNS,RNS,ISTANBUL
1143,ISL,IST,ISTANBUL,ROV,ROV,ISTANBUL
1145,IST,IST,ISTANBUL,ROV,ROV,ISTANBUL
2239,SAW,IST,ISTANBUL,ROV,ROV,ISTANBUL
1143,ISL,IST,ISTANBUL,RUH,RUH,ISTANBUL
